Date,Temperature High,Temperature Low,Pressure
"Jul 3, 2021",-24.3,-82.4,7.54
"Jul 2, 2021",-23.0,-82.0,7.54
"Jul 1, 2021",-24.7,-81.7,7.54
"Jun 30, 2021",-21.7,-82.0,7.55
"Jun 29, 2021",-26.9,-81.2,7.57
"Jun 28, 2021",-24.8,-81.3,7.57
"Jun 27, 2021",-26.6,-80.1,7.56
"Jun 26, 2021",-24.6,-81.3,7.57
"Jun 25, 2021",-25.7,-81.1,7.57
"Jun 24, 2021",-23.2,-82.5,7.58
"Jun 23, 2021",-23.9,-81.3,7.58
"Jun 22, 2021",-24.7,-82.5,7.57
"Jun 21, 2021",-25.0,-81.1,7.58
"Jun 20, 2021",-25.0,-82.1,7.58
"Jun 19, 2021",-24.0,-82.5,7.59
"Jun 18, 2021",-24.4,-82.5,7.58
"Jun 17, 2021",-22.4,-83.7,7.59
"Jun 16, 2021",-24.8,-83.5,7.60
